Source,Target,Type,id,label,timeset,weight
1,2,Directed,1,1,,17.0
1,3,Directed,2,2,,17.0
1,4,Directed,3,3,,11.0
1,5,Directed,4,4,,37.0
1,6,Directed,5,5,,34.0
2,1,Directed,6,6,,43.0
2,3,Directed,7,7,,11.0
2,4,Directed,8,8,,4.0
2,5,Directed,9,9,,16.0
2,6,Directed,10,10,,7.0
3,1,Directed,11,11,,15.0
3,2,Directed,12,12,,12.0
3,4,Directed,13,13,,3.0
3,5,Directed,14,14,,3.0
3,6,Directed,15,15,,9.0
4,1,Directed,16,16,,8.0
4,2,Directed,17,17,,3.0
4,3,Directed,18,18,,1.0
4,5,Directed,19,19,,11.0
4,6,Directed,20,20,,4.0
5,1,Directed,21,21,,49.0
5,2,Directed,22,22,,11.0
5,3,Directed,23,23,,6.0
5,4,Directed,24,24,,5.0
5,6,Directed,25,25,,20.0
6,1,Directed,26,26,,29.0
6,2,Directed,27,27,,11.0
6,3,Directed,28,28,,6.0
6,4,Directed,29,29,,4.0
6,5,Directed,30,30,,24.0
