Source,Target,Type,id,label,timeset,weight
1,1,Directed,1,1,,73
1,2,Directed,2,2,,38
1,3,Directed,3,3,,66
1,4,Directed,4,4,,11
1,5,Directed,5,5,,7
2,1,Directed,6,6,,38
2,2,Directed,7,7,,0
2,3,Directed,8,8,,0
2,4,Directed,9,9,,0
2,5,Directed,10,10,,0
3,1,Directed,11,11,,66
3,2,Directed,12,12,,0
3,3,Directed,13,13,,0
3,4,Directed,14,14,,0
3,5,Directed,15,15,,0
4,1,Directed,16,16,,11
4,2,Directed,17,17,,0
4,3,Directed,18,18,,0
4,4,Directed,19,19,,0
4,5,Directed,20,20,,0
5,1,Directed,21,21,,7
5,2,Directed,22,22,,0
5,3,Directed,23,23,,0
5,4,Directed,24,24,,0
5,5,Directed,25,25,,0
